user_id,item_id,category_id,behavior,timestamp,time,date,hour,weekday,is_workday
237858,1062152,1464116,pv,1512212331,2017-12-02 10:58:51,2017-12-02,10,5,0
44200,3916487,4135836,pv,1511931558,2017-11-29 04:59:18,2017-11-29,4,2,1
920479,2816757,154040,pv,1512311001,2017-12-03 14:23:21,2017-12-03,14,6,0
239462,2698818,154040,pv,1511783539,2017-11-27 11:52:19,2017-11-27,11,0,1
947273,3991295,1029459,pv,1512273837,2017-12-03 04:03:57,2017-12-03,4,6,0
531875,1909355,570735,pv,1512125900,2017-12-01 10:58:20,2017-12-01,10,4,1
193305,3004289,2355072,pv,1511876550,2017-11-28 13:42:30,2017-11-28,13,1,1
398878,4442116,982926,pv,1512032447,2017-11-30 09:00:47,2017-11-30,9,3,1
159260,2153209,2737340,pv,1512295650,2017-12-03 10:07:30,2017-12-03,10,6,0
104420,1340925,3324385,pv,1511987084,2017-11-29 20:24:44,2017-11-29,20,2,1
873100,4642556,3645362,pv,1511713839,2017-11-26 16:30:39,2017-11-26,16,6,0
998139,745442,1299190,pv,1511882231,2017-11-28 15:17:11,2017-11-28,15,1,1
55362,4533927,796856,pv,1512193161,2017-12-02 05:39:21,2017-12-02,5,5,0
876708,559831,3607361,pv,1511618845,2017-11-25 14:07:25,2017-11-25,14,5,0
533310,1111700,1308457,pv,1511849917,2017-11-28 06:18:37,2017-11-28,6,1,1
687699,5085100,2640118,pv,1512165372,2017-12-01 21:56:12,2017-12-01,21,4,1
955801,195127,4048584,pv,1511701233,2017-11-26 13:00:33,2017-11-26,13,6,0
354985,3974620,2926020,buy,1511749053,2017-11-27 02:17:33,2017-11-27,2,0,1
664966,3136786,545259,pv,1512044532,2017-11-30 12:22:12,2017-11-30,12,3,1
799002,2226812,1850548,pv,1511796370,2017-11-27 15:26:10,2017-11-27,15,0,1
455576,2957248,2629787,pv,1511819754,2017-11-27 21:55:54,2017-11-27,21,0,1
166140,2954672,3497174,pv,1511936197,2017-11-29 06:16:37,2017-11-29,6,2,1
901063,1597085,2735466,pv,1511799816,2017-11-27 16:23:36,2017-11-27,16,0,1
815544,2095198,4801426,pv,1511836433,2017-11-28 02:33:53,2017-11-28,2,1,1
825407,2108802,2169876,buy,1511934783,2017-11-29 05:53:03,2017-11-29,5,2,1
954839,4459910,2462567,pv,1511894043,2017-11-28 18:34:03,2017-11-28,18,1,1
294741,255012,3366905,pv,1512191969,2017-12-02 05:19:29,2017-12-02,5,5,0
747756,2912022,2520771,pv,1512090755,2017-12-01 01:12:35,2017-12-01,1,4,1
182731,2595186,2355072,pv,1512314364,2017-12-03 15:19:24,2017-12-03,15,6,0
297700,3507334,3404739,pv,1511909624,2017-11-28 22:53:44,2017-11-28,22,1,1
787603,3853076,2355072,pv,1512008698,2017-11-30 02:24:58,2017-11-30,2,3,1
66767,500078,2520377,pv,1511586640,2017-11-25 05:10:40,2017-11-25,5,5,0
1016971,4214425,1859277,pv,1511959880,2017-11-29 12:51:20,2017-11-29,12,2,1
821974,2488642,4163659,pv,1512044541,2017-11-30 12:22:21,2017-11-30,12,3,1
933000,446105,801221,pv,1512133873,2017-12-01 13:11:13,2017-12-01,13,4,1
930213,1146774,2355072,fav,1511670703,2017-11-26 04:31:43,2017-11-26,4,6,0
619477,3316208,2982027,pv,1511615805,2017-11-25 13:16:45,2017-11-25,13,5,0
323274,1715,1464116,pv,1511700738,2017-11-26 12:52:18,2017-11-26,12,6,0
701158,4305061,4298656,pv,1512277513,2017-12-03 05:05:13,2017-12-03,5,6,0
337080,2565152,154040,fav,1511578207,2017-11-25 02:50:07,2017-11-25,2,5,0
482443,3503805,1575622,pv,1512027617,2017-11-30 07:40:17,2017-11-30,7,3,1
10080,2322845,982926,pv,1512296791,2017-12-03 10:26:31,2017-12-03,10,6,0
5552,3468091,3544253,pv,1511627702,2017-11-25 16:35:02,2017-11-25,16,5,0
102190,5080375,4643350,pv,1512158503,2017-12-01 20:01:43,2017-12-01,20,4,1
338545,989171,103181,cart,1512106848,2017-12-01 05:40:48,2017-12-01,5,4,1
721240,188894,2961648,fav,1512142453,2017-12-01 15:34:13,2017-12-01,15,4,1
612315,2071533,1998227,pv,1511573458,2017-11-25 01:30:58,2017-11-25,1,5,0
268188,4390369,3459562,pv,1512110426,2017-12-01 06:40:26,2017-12-01,6,4,1
997762,1831825,154040,pv,1512104598,2017-12-01 05:03:18,2017-12-01,5,4,1
705296,4149187,1789614,pv,1512182723,2017-12-02 02:45:23,2017-12-02,2,5,0
6567,1552832,2862133,pv,1512301437,2017-12-03 11:43:57,2017-12-03,11,6,0
283016,4438744,2529187,pv,1512197251,2017-12-02 06:47:31,2017-12-02,6,5,0
562032,537206,2355072,pv,1511942590,2017-11-29 08:03:10,2017-11-29,8,2,1
591133,3437343,1299190,pv,1512295040,2017-12-03 09:57:20,2017-12-03,9,6,0
721953,1938193,149192,pv,1512308958,2017-12-03 13:49:18,2017-12-03,13,6,0
861553,2447348,4728774,pv,1512229139,2017-12-02 15:38:59,2017-12-02,15,5,0
924493,3434058,149192,pv,1511666333,2017-11-26 03:18:53,2017-11-26,3,6,0
661645,2601044,2735466,pv,1511962468,2017-11-29 13:34:28,2017-11-29,13,2,1
11179,563215,4145813,pv,1511848461,2017-11-28 05:54:21,2017-11-28,5,1,1
168903,2520758,2342116,fav,1511916732,2017-11-29 00:52:12,2017-11-29,0,2,1
611639,617200,1253595,pv,1512204587,2017-12-02 08:49:47,2017-12-02,8,5,0
270896,2877104,2520377,pv,1511875005,2017-11-28 13:16:45,2017-11-28,13,1,1
828328,594505,903809,pv,1512310734,2017-12-03 14:18:54,2017-12-03,14,6,0
264,4059037,1299190,pv,1511752179,2017-11-27 03:09:39,2017-11-27,3,0,1
949353,4220556,3530487,pv,1512026357,2017-11-30 07:19:17,2017-11-30,7,3,1
38364,1952566,4145813,pv,1512224316,2017-12-02 14:18:36,2017-12-02,14,5,0
337887,3415114,982926,pv,1512220833,2017-12-02 13:20:33,2017-12-02,13,5,0
882895,529966,3524510,cart,1511580125,2017-11-25 03:22:05,2017-11-25,3,5,0
176272,4167506,3607361,pv,1512012335,2017-11-30 03:25:35,2017-11-30,3,3,1
575736,420956,5053508,fav,1511979799,2017-11-29 18:23:19,2017-11-29,18,2,1
625220,568914,4212922,cart,1511589895,2017-11-25 06:04:55,2017-11-25,6,5,0
132959,4069688,2465336,pv,1511671755,2017-11-26 04:49:15,2017-11-26,4,6,0
718150,1400215,4756105,pv,1512132033,2017-12-01 12:40:33,2017-12-01,12,4,1
679092,4126127,982926,pv,1511573866,2017-11-25 01:37:46,2017-11-25,1,5,0
958282,2952402,2465336,fav,1511863351,2017-11-28 10:02:31,2017-11-28,10,1,1
986657,141181,4458428,pv,1512226269,2017-12-02 14:51:09,2017-12-02,14,5,0
565445,3915307,883960,fav,1512258344,2017-12-02 23:45:44,2017-12-02,23,5,0
137538,3126492,2952458,pv,1511714332,2017-11-26 16:38:52,2017-11-26,16,6,0
538873,2173310,3002561,pv,1511962062,2017-11-29 13:27:42,2017-11-29,13,2,1
599807,4109075,2728585,pv,1512313474,2017-12-03 15:04:34,2017-12-03,15,6,0
738386,2826253,3607361,cart,1511784527,2017-11-27 12:08:47,2017-11-27,12,0,1
955496,1742514,4643350,pv,1512267196,2017-12-03 02:13:16,2017-12-03,2,6,0
160279,4455579,1165503,pv,1511608800,2017-11-25 11:20:00,2017-11-25,11,5,0
331514,357262,4602841,pv,1511876428,2017-11-28 13:40:28,2017-11-28,13,1,1
40609,4615392,2453525,pv,1511799410,2017-11-27 16:16:50,2017-11-27,16,0,1
85080,4424060,1879194,pv,1511875506,2017-11-28 13:25:06,2017-11-28,13,1,1
748510,4442683,1792277,pv,1511852252,2017-11-28 06:57:32,2017-11-28,6,1,1
167367,1792817,339305,pv,1512303705,2017-12-03 12:21:45,2017-12-03,12,6,0
149849,1527822,200278,pv,1511761051,2017-11-27 05:37:31,2017-11-27,5,0,1
157741,2966011,322167,pv,1512206152,2017-12-02 09:15:52,2017-12-02,9,5,0
418329,2629065,982926,pv,1511759768,2017-11-27 05:16:08,2017-11-27,5,0,1
721998,5121293,4135836,pv,1511699369,2017-11-26 12:29:29,2017-11-26,12,6,0
274200,3627712,2355072,pv,1511861968,2017-11-28 09:39:28,2017-11-28,9,1,1
250947,935278,2131531,pv,1512104782,2017-12-01 05:06:22,2017-12-01,5,4,1
252774,2307787,3607361,pv,1511601419,2017-11-25 09:16:59,2017-11-25,9,5,0
134311,1443812,3102419,pv,1511604235,2017-11-25 10:03:55,2017-11-25,10,5,0
671924,1073622,2486578,pv,1511973736,2017-11-29 16:42:16,2017-11-29,16,2,1
874167,1655024,2520771,pv,1511929022,2017-11-29 04:17:02,2017-11-29,4,2,1
572550,4039775,2355072,pv,1511856634,2017-11-28 08:10:34,2017-11-28,8,1,1
470982,4648466,2730467,cart,1512280462,2017-12-03 05:54:22,2017-12-03,5,6,0
984666,499753,1281227,pv,1511934468,2017-11-29 05:47:48,2017-11-29,5,2,1
133908,1385009,2520377,pv,1512050190,2017-11-30 13:56:30,2017-11-30,13,3,1
521009,982995,1568197,pv,1511778899,2017-11-27 10:34:59,2017-11-27,10,0,1
73239,621068,2920476,pv,1512311320,2017-12-03 14:28:40,2017-12-03,14,6,0
874597,4628935,2465336,pv,1511877004,2017-11-28 13:50:04,2017-11-28,13,1,1
266904,3531712,383749,pv,1511845478,2017-11-28 05:04:38,2017-11-28,5,1,1
194157,4671329,4756105,cart,1512298067,2017-12-03 10:47:47,2017-12-03,10,6,0
20885,4519765,4181361,cart,1512224486,2017-12-02 14:21:26,2017-12-02,14,5,0
483038,3973257,4462359,pv,1511616046,2017-11-25 13:20:46,2017-11-25,13,5,0
965903,3981344,154040,pv,1511940628,2017-11-29 07:30:28,2017-11-29,7,2,1
677031,94321,2735466,fav,1511593499,2017-11-25 07:04:59,2017-11-25,7,5,0
39370,4361656,982926,pv,1512029704,2017-11-30 08:15:04,2017-11-30,8,3,1
342354,3091525,2529187,pv,1512102225,2017-12-01 04:23:45,2017-12-01,4,4,1
893429,3845720,3607361,pv,1512294175,2017-12-03 09:42:55,2017-12-03,9,6,0
281004,1693452,4801426,cart,1512268151,2017-12-03 02:29:11,2017-12-03,2,6,0
60002,4968574,2355072,pv,1512106260,2017-12-01 05:31:00,2017-12-01,5,4,1
852704,1744998,4756105,pv,1512097627,2017-12-01 03:07:07,2017-12-01,3,4,1
46534,1203613,3002561,pv,1512225173,2017-12-02 14:32:53,2017-12-02,14,5,0
560322,4146866,50601,cart,1511584376,2017-11-25 04:32:56,2017-11-25,4,5,0
12099,4691545,3598912,pv,1511882104,2017-11-28 15:15:04,2017-11-28,15,1,1
277116,5024446,1686309,pv,1511869413,2017-11-28 11:43:33,2017-11-28,11,1,1
492374,3382202,1051370,pv,1511577220,2017-11-25 02:33:40,2017-11-25,2,5,0
814889,147981,4173315,pv,1511939685,2017-11-29 07:14:45,2017-11-29,7,2,1
339608,1181511,171529,cart,1512212621,2017-12-02 11:03:41,2017-12-02,11,5,0
506068,3539538,2520377,pv,1511772209,2017-11-27 08:43:29,2017-11-27,8,0,1
318905,3964583,800581,cart,1512229380,2017-12-02 15:43:00,2017-12-02,15,5,0
514291,3018048,578983,pv,1512206752,2017-12-02 09:25:52,2017-12-02,9,5,0
841527,3687601,3673049,pv,1511777341,2017-11-27 10:09:01,2017-11-27,10,0,1
561106,1371304,2366905,pv,1511750475,2017-11-27 02:41:15,2017-11-27,2,0,1
324885,4247714,2926020,pv,1511969261,2017-11-29 15:27:41,2017-11-29,15,2,1
853154,1319790,903809,pv,1512178602,2017-12-02 01:36:42,2017-12-02,1,5,0
