user_id,item_id,category_id,behavior,timestamp
684848,957097,21059,pv,1511798772
997401,4947603,4756105,cart,1511584904
497553,2726887,982926,pv,1511770853
752427,1134503,841696,pv,1511710203
283837,2699835,4756105,pv,1512307466
942962,4171231,2355072,pv,1511941472
385144,2185253,4697972,pv,1511576257
965047,3999129,3566034,pv,1511786185
20018,2692603,3231625,pv,1511995059
837779,821723,801221,pv,1511694390
213234,670904,1299190,pv,1512131280
576122,3760481,982926,pv,1512042799
362690,3028322,1467750,pv,1512226721
78500,4392226,4818107,cart,1511834832
759044,3350301,1936748,pv,1511658630
742041,271107,3607361,pv,1511577422
909238,3958329,1859277,pv,1512012688
337621,3527308,2806049,pv,1511955681
238755,4317217,4847838,pv,1511926534
71125,2911486,366112,pv,1512276069
305340,2333218,982926,pv,1511885668
993563,2569642,2465336,pv,1512187794
563687,2291538,4217906,pv,1512271897
226092,1063918,3524510,pv,1512308138
354089,2988290,1464116,pv,1511620072
586049,3595771,4145813,pv,1511685607
701596,725316,153285,pv,1511605525
56358,4552834,5144469,pv,1511684928
314988,4882193,982926,pv,1512016167
72368,1397225,3738615,pv,1511612737
215184,1448957,3738615,pv,1511870619
132601,98340,2520377,pv,1512213657
572916,4744994,2520377,pv,1511679222
129260,4173459,2355072,pv,1511781726
528714,2556884,4145813,pv,1511881139
200300,3005735,4145813,pv,1512130471
887777,3392915,2042400,pv,1512048641
268255,4319265,4355436,pv,1512106817
33704,4200690,383749,pv,1512112703
676363,4773790,3607361,pv,1512091680
52415,1338087,4181361,pv,1512304294
969454,1501726,1320293,cart,1512103936
486536,1155539,4391936,pv,1511782101
820623,625400,2296439,cart,1512000661
20958,3020766,411153,pv,1512280080
269931,526974,3607361,pv,1512192675
112437,3282943,982926,pv,1512173770
95800,2603410,2520377,pv,1511961328
758533,872807,3002561,pv,1511754958
295978,2435475,4159072,pv,1512308441
332213,4452314,5046132,pv,1512208437
914128,2208645,1449177,pv,1512278443
589095,4124964,1834026,buy,1511793692
764273,2630663,411153,pv,1511876291
644064,4192042,1265358,pv,1512188887
219863,185982,3108044,pv,1511591523
896074,4788847,4163659,fav,1512097861
132140,4891089,5053508,pv,1512202791
545994,4176682,1308457,pv,1511613781
574672,4677123,903809,pv,1512212080
